Start Time,Sample Time,Label,Status,response,Thread Name,data type,success,,Bytes,Sent Bytes,grpThread,allThread,URL,Latency,idle time,Connect Time
1.74847E+12,9898,Corporate,200,OK,Thread Group 1-4,text,TRUE,,432585,139,47,47,https://www.simplilearn.com/corporate-training,1290,0,0
1.74847E+12,4399,Resource,200,OK,Thread Group 1-20,text,TRUE,,325305,130,46,46,https://www.simplilearn.com/resources,2054,0,0
1.74847E+12,13771,Simpli,200,OK,Thread Group 1-26,text,TRUE,,642382,121,46,46,https://www.simplilearn.com/,2015,0,1179
1.74847E+12,7189,Resource,200,OK,Thread Group 1-16,text,TRUE,,325314,130,46,46,https://www.simplilearn.com/resources,1583,0,0
1.74847E+12,9170,Resource,200,OK,Thread Group 1-9,text,TRUE,,325313,130,46,46,https://www.simplilearn.com/resources,1625,0,0
1.74847E+12,13893,Simpli,200,OK,Thread Group 1-28,text,TRUE,,642373,121,46,46,https://www.simplilearn.com/,2333,0,1331
1.74847E+12,7832,Resource,200,OK,Thread Group 1-13,text,TRUE,,325313,130,46,46,https://www.simplilearn.com/resources,1556,0,0
1.74847E+12,12136,Simpli,200,OK,Thread Group 1-47,text,TRUE,,642373,121,46,46,https://www.simplilearn.com/,3989,0,2312
1.74847E+12,12049,Simpli,200,OK,Thread Group 1-48,text,TRUE,,642373,121,46,46,https://www.simplilearn.com/,3756,0,2284
1.74847E+12,12017,Simpli,200,OK,Thread Group 1-50,text,TRUE,,642373,121,46,46,https://www.simplilearn.com/,3821,0,2336
1.74847E+12,5900,Resource,200,OK,Thread Group 1-18,text,TRUE,,325304,130,46,46,https://www.simplilearn.com/resources,1998,0,0
1.74847E+12,12175,Simpli,200,OK,Thread Group 1-49,text,TRUE,,642373,121,46,46,https://www.simplilearn.com/,4119,0,2388
1.74847E+12,7429,Resource,200,OK,Thread Group 1-17,text,TRUE,,325311,130,46,46,https://www.simplilearn.com/resources,1709,0,0
1.74847E+12,8813,Resource,200,OK,Thread Group 1-12,text,TRUE,,325305,130,46,46,https://www.simplilearn.com/resources,1630,0,0
1.74847E+12,8923,Resource,200,OK,Thread Group 1-6,text,TRUE,,325313,130,46,46,https://www.simplilearn.com/resources,1609,0,0
1.74847E+12,7612,Resource,200,OK,Thread Group 1-15,text,TRUE,,325304,130,46,46,https://www.simplilearn.com/resources,1765,0,0
1.74847E+12,14525,Simpli,200,OK,Thread Group 1-29,text,TRUE,,642373,121,46,46,https://www.simplilearn.com/,2238,0,1263
1.74847E+12,8316,Corporate,200,OK,Thread Group 1-8,text,TRUE,,432576,139,46,46,https://www.simplilearn.com/corporate-training,1615,0,0
1.74847E+12,15279,Simpli,200,OK,Thread Group 1-25,text,TRUE,,642579,121,45,45,https://www.simplilearn.com/,1838,0,1027
1.74847E+12,14483,Simpli,200,OK,Thread Group 1-34,text,TRUE,,642373,121,45,45,https://www.simplilearn.com/,2836,0,1597
1.74847E+12,14857,Simpli,200,OK,Thread Group 1-31,text,TRUE,,642373,121,45,45,https://www.simplilearn.com/,2526,0,1460
1.74847E+12,14962,Simpli,200,OK,Thread Group 1-30,text,TRUE,,642373,121,45,45,https://www.simplilearn.com/,2516,0,1436
1.74847E+12,14444,Simpli,200,OK,Thread Group 1-36,text,TRUE,,642390,121,45,45,https://www.simplilearn.com/,2970,0,1689
1.74847E+12,14564,Simpli,200,OK,Thread Group 1-35,text,TRUE,,642381,121,45,45,https://www.simplilearn.com/,2797,0,1559
1.74847E+12,15039,Simpli,200,OK,Thread Group 1-32,text,TRUE,,642373,121,45,45,https://www.simplilearn.com/,2656,0,1487
1.74847E+12,5397,Resource,200,OK,Thread Group 1-22,text,TRUE,,325304,130,45,45,https://www.simplilearn.com/resources,3475,0,0
1.74847E+12,5210,Resource,200,OK,Thread Group 1-23,text,TRUE,,325304,130,45,45,https://www.simplilearn.com/resources,3367,0,0
1.74847E+12,15125,Simpli,200,OK,Thread Group 1-33,text,TRUE,,642373,121,45,45,https://www.simplilearn.com/,2790,0,1575
1.74847E+12,14707,Simpli,200,OK,Thread Group 1-40,text,TRUE,,642382,121,45,45,https://www.simplilearn.com/,3179,0,1861
1.74847E+12,15211,Simpli,200,OK,Thread Group 1-38,text,TRUE,,642373,121,45,45,https://www.simplilearn.com/,3003,0,1676
1.74847E+12,2199,Resource,200,OK,Thread Group 1-48,text,TRUE,,325320,130,45,45,https://www.simplilearn.com/resources,964,0,0
1.74847E+12,5578,Resource,200,OK,Thread Group 1-24,text,TRUE,,325305,130,45,45,https://www.simplilearn.com/resources,3288,0,0
1.74847E+12,2252,Resource,200,OK,Thread Group 1-47,text,TRUE,,325304,130,45,45,https://www.simplilearn.com/resources,1004,0,0
1.74847E+12,15221,Simpli,200,OK,Thread Group 1-39,text,TRUE,,642373,121,45,45,https://www.simplilearn.com/,3238,0,1828
1.74847E+12,9492,Resource,200,OK,Thread Group 1-14,text,TRUE,,325304,130,45,45,https://www.simplilearn.com/resources,1905,0,0
1.74847E+12,15513,Simpli,200,OK,Thread Group 1-37,text,TRUE,,642373,121,45,45,https://www.simplilearn.com/,3062,0,1710
1.74847E+12,2195,Resource,200,OK,Thread Group 1-50,text,TRUE,,325304,130,45,45,https://www.simplilearn.com/resources,1045,0,0
1.74847E+12,2413,Resource,200,OK,Thread Group 1-49,text,TRUE,,325304,130,45,45,https://www.simplilearn.com/resources,1172,0,0
1.74847E+12,15436,Simpli,200,OK,Thread Group 1-41,text,TRUE,,642381,121,45,45,https://www.simplilearn.com/,3430,0,1966
1.74847E+12,15075,Simpli,200,OK,Thread Group 1-45,text,TRUE,,642373,121,45,45,https://www.simplilearn.com/,3566,0,2057
1.74847E+12,15292,Simpli,200,OK,Thread Group 1-43,text,TRUE,,642660,121,45,45,https://www.simplilearn.com/,3695,0,2149
1.74847E+12,15404,Simpli,200,OK,Thread Group 1-42,text,TRUE,,642388,121,45,45,https://www.simplilearn.com/,3618,0,2133
1.74847E+12,3531,Corporate,200,OK,Thread Group 1-20,text,TRUE,,432584,139,45,45,https://www.simplilearn.com/corporate-training,1202,0,0
1.74847E+12,15463,Simpli,200,OK,Thread Group 1-44,text,TRUE,,642373,121,44,44,https://www.simplilearn.com/,3651,0,2132
